1312;PORTO
1313;PÓVOA DE VARZIM
1314;SANTO TIRSO
1315;VALONGO
1316;VILA DO CONDE
1317;VILA NOVA DE GAIA
1318;TROFA
1401;ABRANTES
1402;ALCANENA
1403;ALMEIRIM
1404;ALPIARÇA
1405;BENAVENTE
1406;CARTAXO
1407;CHAMUSCA
1408;CONSTÂNCIA
1409;CORUCHE
1410;ENTRONCAMENTO
1411;FERREIRA DO ZÊZERE
1412;GOLEGÃ
1413;MAÇÃO
1414;RIO MAIOR
1415;SALVATERRA DE MAGOS
1416;SANTARÉM
1417;SARDOAL
1418;TOMAR
1419;TORRES NOVAS
1420;VILA NOVA DA BARQUINHA
1421;OURÉM
1501;ALCÁCER DO SAL
1502;ALCOCHETE
1503;ALMADA
1504;BARREIRO
1505;GRÂNDOLA
1506;MOITA
1507;MONTIJO
1508;PALMELA
1509;SANTIAGO DO CACÉM
1510;SEIXAL
1511;SESIMBRA
1512;SETÚBAL
1513;SINES
1601;ARCOS DE VALDEVEZ
1602;CAMINHA
1603;MELGAÇO
1604;MONÇÃO
1605;PAREDES DE COURA
1606;PONTE DA BARCA
1607;PONTE DE LIMA
1608;VALENÇA
1609;VIANA DO CASTELO
1610;VILA NOVA DE CERVEIRA
1701;ALIJÓ
1702;BOTICAS
1703;CHAVES
1704;MESÃO FRIO
1705;MONDIM DE BASTO
1706;MONTALEGRE
1707;MURÇA
1708;PESO DA RÉGUA
1709;RIBEIRA DE PENA
1710;SABROSA
1711;SANTA MARTA DE PENAGUIÃO
1712;VALPAÇOS
1713;VILA POUCA DE AGUIAR
1714;VILA REAL
1801;ARMAMAR
1802;CARREGAL DO SAL
1803;CASTRO DAIRE
1804;CINFÃES
1805;LAMEGO
1806;MANGUALDE
1807;MOIMENTA DA BEIRA
1808;MORTÁGUA
1809;NELAS
1810;OLIVEIRA DE FRADES
1811;PENALVA DO CASTELO
1812;PENEDONO
1813;RESENDE
1814;SANTA COMBA DÃO
1815;SÃO JOÃO DA PESQUEIRA
1816;SÃO PEDRO DO SUL
1817;SÁTÃO
1818;SERNANCELHE
1819;TABUAÇO
1820;TAROUCA
1821;TONDELA
1822;VILA NOVA DE PAIVA
1823;VISEU
1824;VOUZELA
3101;CALHETA
3102;CÂMARA DE LOBOS
3103;FUNCHAL
3104;MACHICO
3105;PONTA DO SOL
3106;PORTO MONIZ
3107;RIBEIRA BRAVA
3108;SANTA CRUZ
3109;SANTANA
3110;SÃO VICENTE
3201;PORTO SANTO
4101;VILA DO PORTO
4201;LAGOA
4202;NORDESTE
4203;PONTA DELGADA
4204;POVOAÇÃO
4205;RIBEIRA GRANDE
4206;VILA FRANCA DO CAMPO
4301;ANGRA DO HEROÍSMO
4302;PRAIA DA VITÓRIA
4401;SANTA CRUZ DA GRACIOSA
4501;CALHETA DE SÃO JORGE
4502;VELAS
4601;LAJES DO PICO
4602;MADALENA
4603;SÃO ROQUE DO PICO
4701;HORTA
4801;LAJES DAS FLORES
4802;SANTA CRUZ DAS FLORES
4901;CORVO
